tahun,anggaran_belanja_pemerintah
2014,12179.0
2015,10679.0
2016,12088.0
2017,11919.0
2018,15680.0
2019,17764.0
2020,18360.6
2021,16689.9
2022,14109.2
2023,13132.3
2024,14128.1
