tahun,anggaran_belanja_pemerintah
2014,128274.0
2015,143526.0
2016,360226.0
2017,310560.0
2018,335464.0
2019,389600.0
2020,406175.4
2021,511338.1
2022,399963.6
2023,630514.0
2024,644178.3
