tahun,anggaran_belanja_pemerintah
2014,13078.0
2015,21113.0
2016,67214.0
2017,61724.0
2018,65066.0
2019,62758.0
2020,61148.3
2021,111666.7
2022,139502.1
2023,97621.2
2024,97429.3
