tahun,anggaran_belanja_pemerintah
2014,4463.0
2015,5290.0
2016,9785.0
2017,9727.0
2018,9473.0
2019,10143.0
2020,10090.8
2021,11075.8
2022,10598.6
2023,11168.7
2024,11762.8
