tahun,anggaran_belanja_pemerintah
2014,31487.0
2015,20466.0
2016,34651.0
2017,29683.0
2018,31508.0
2019,26516.0
2020,30359.5
2021,33217.3
2022,17291.7
2023,31726.5
2024,41798.0
