tahun,anggaran_belanja_pemerintah
2014,2053.0
2015,1926.0
2016,7433.0
2017,5371.0
2018,7456.0
2019,5325.0
2020,5056.7
2021,5261.4
2022,3725.7
2023,3559.7
2024,3396.3
