tahun,anggaran_belanja_pemerintah
2014,1249943.0
2015,1392442.0
2016,1325551.0
2017,1315526.0
2018,1454494.0
2019,1634340.0
2020,1683477.2
2021,1954548.5
2022,1944542.3
2023,2230025.1
2024,2467527.5
