tahun,anggaran_belanja_pemerintah
2014,86307.0
2015,96824.0
2016,99649.0
2017,108294.0
2018,107829.0
2019,108429.0
2020,131246.4
2021,137185.6
2022,134645.4
2023,131784.8
2024,139101.9
