tahun,anggaran_belanja_pemerintah
2014,131314.0
2015,146393.0
2016,150090.0
2017,143134.0
2018,147562.0
2019,152690.0
2020,156894.4
2021,175236.5
2022,169230.4
2023,230728.4
2024,225072.8
