tahun,anggaran_belanja_pemerintah
2014,8063.0
2015,8319.0
2016,158089.0
2017,157689.0
2018,162557.0
2019,200801.0
2020,226416.5
2021,260063.6
2022,251678.0
2023,241035.2
2024,270151.0
