tahun,anggaran_belanja_pemerintah
2014,794772.0
2015,891768.0
2016,316533.0
2017,355849.0
2018,435905.0
2019,517342.0
2020,474999.7
2021,526181.3
2022,627121.3
2023,663052.9
2024,827706.3
